volgorde,Struco,area_2
2,20,1116.398014
2,50,884.4511147
2,40,2120.684616
2,100,6505.58268
2,110,479.4406471
2,110,17940.63959
2,0,2227.926464
4,20,7980.690403
4,50,2407.208363
4,50,7459.701534
4,10,987.3527222
4,10,63.76608276
4,10,15.29602432
4,40,10689.54668
4,61,1513.014366
4,61,1236.086166
4,0,251.8695793
5,0,6369.754723
5,20,1890.430363
5,20,1900.006569
5,50,27.75173187
5,10,669.6245079
5,40,490.5178337
5,100,16058.54055
5,110,3777.137802
6,20,13154.96463
6,20,483.5077591
6,50,363.530571
6,50,3395.820168
6,50,140.2979774
6,50,984.041851
6,50,319.1840668
6,50,3294.643665
6,10,225.2261086
6,10,443.2884827
6,10,1621.314911
6,10,551.4944229
6,10,340.5269165
6,40,463.6412811
6,61,189.6198807
6,61,1589.799919
6,61,3998.954399
6,0,0.612888336
7,20,395.3768425
7,40,940.0608902
7,100,419.5361061
7,110,29153.90667
7,0,0.102962494
9,20,2088.039364
9,20,904.7533722
9,20,6067.372059
9,50,11073.34626
9,50,1132.470398
9,10,374.8581009
9,40,988.8234749
9,40,2221.461445
9,40,731.8034096
9,100,849.7583847
9,61,2932.226883
9,61,1768.442379
9,0,358.2545471
10,20,8029.168613
10,20,856.0791893
10,50,534.9939423
10,50,857.7323265
10,50,2452.675629
10,50,345.3884277
10,10,250.4082108
10,10,144.6440048
10,61,17947.81794
10,0,0.164226532
13,20,269.0783157
13,20,1496.81741
13,20,2880.362125
13,10,306.0659676
13,40,48.97805786
13,61,383.6369247
13,100,24055.96648
13,0,1556.574562
14,20,276.4848061
14,20,427.2393608
14,20,30.93049622
14,50,5960.942944
14,50,3021.47364
14,50,297.9131889
14,10,9329.508404
14,61,10138.77637
14,0,1600.597984
15,20,6275.44722
15,20,153.9839096
15,20,585.5630341
15,10,360.2136955
15,40,18491.1317
15,100,5131.115543
15,0,385.0562134
16,20,12192.92273
16,20,8.569168091
16,50,7525.950901
16,50,3136.327106
16,50,1011.894852
16,10,147.5728607
16,40,371.1296959
16,40,4441.508652
16,40,435.322979
16,61,739.8910675
16,61,756.3419113
16,0,870.1889763
17,20,213.2470131
17,40,2946.232838
17,100,903.282196
17,100,500.3791542
17,110,26377.11943
17,0,163.5002022
18,20,19333.81752
18,50,2481.721645
18,50,268.7684746
18,50,4062.868248
18,40,788.2472153
18,40,572.1929169
18,40,549.7045288
